Band gap,Permittivity
3.05,3.3
1.99,5.4
6.35,2.9
4.3,4.5
0.81,7.1
4.45,4.8
3.05,3.3
0.86,4.5
2.21,4.1
1.72,3.2
6.04,3.3
1.11,6.4
4.66,3.2
0.95,12.5
1.86,4.4
0.6,5.5
4.88,2.9
1.46,4.3
1.84,5.7
3.45,4.3
3.16,3.9
7.47,3.1
3.55,3.9
4.11,4.1
3.91,4.9
1.97,4.4
4.71,2.9
1.98,6.3
4.45,3.4
3.05,4.6
3.96,4.7
3.23,4.7
2.91,4.8
2.89,2.7
4.78,2.8
3.85,3.6
3.29,3.2
0.67,5.1
1.63,3.6
3.98,4.9
6.27,3.2
4.19,2.9
2.33,4.8
4.7,3.7
0.7,4.9
0.89,4.6
4.57,2.4
4.38,3.1
4.96,2.7
3.85,4.9
2.93,3.1
2.17,5.3
2.68,4.3
2.9,4.3
4.68,4.1
3.98,4
4.63,2.8
1.69,4.6
3.27,3.3
4.84,3.6
1.39,3.8
5.22,3.1
3.29,3.6
4.99,3.3
2.46,5
5.5,2.6
2.77,5.4
1.22,4.2
3.84,4.9
2.32,4.8
3.53,4.8
3.81,2.8
0.76,5
3.51,4.7
3.18,4.8
4.19,2.4
2.32,3.7
0.99,4.4
4.12,2.4
3.2,4.4
5.52,2.6
4.63,2.8
1.32,3.9
3.19,3.2
2.65,6.1
4.24,2.7
3.36,4.7
2.85,4.5
1.5,4.1
5.18,2.5
4.28,4
3.06,3.8
2.69,4.1
1.22,5.2
2.86,3.9
4.19,4.4
2.46,5
3.77,5
4.84,2.9
4.25,3
2.83,3.3
4.03,3.2
1.52,4.1
3.99,2.4
3.55,3.6
4.03,3
4.47,4.4
1.23,6.5
2.55,4.6
5.66,3.7
3.84,5
2.28,6.1
2.59,4.2
2.84,3.9
4.87,2.8
4.13,2.7
3.67,4
3.94,3.2
2.36,3.5
5.06,4
4.12,2.9
1.66,3.7
3.98,4.7
2.3,3.8
5.3,2.9
5.14,2.7
1.97,6.5
2.35,4.4
2.13,3.1
1.74,4.9
1.81,6.6
4.59,3.9
1.18,8.4
2.04,3.8
3.24,5.4
4.37,4.6
4.33,2.9
3.86,3.1
4.31,3.6
3.08,5.2
1.76,9.8
1.93,4.3
2.24,4.9
2.03,5.5
3.59,3.1
1.17,7.7
0.98,7.5
4.29,3.6
2.58,4.1
4.84,3.3
3.22,3.5
2.94,2.7
2.77,4.1
4.88,3.7
3.79,4.3
3.26,3.3
2.15,3.1
0.72,7.9
5.15,2.3
5.4,3.3
3.18,4.4
3.49,3.9
4.95,3
2.49,3.2
4.15,3.4
0.8,8.8
3.22,4.4
2.16,3.4
3.37,3.2
3.45,4
4.35,3.8
4.62,3.5
3.55,3.4
1.71,4.4
3.49,4.5
3.53,3
3.56,2.7
2.85,3
3.88,2.5
4.47,2.5
5.34,2.4
4.22,2.6
4.68,2.9
4.4,3.3
3.78,2.8
2.11,3.6
4.51,2.9
4.8,2.8
0.6,10.4
5.19,3.6
3.73,3.1
3.4,3.3
4.2,2.6
5.02,3
3.12,4.6
3.91,2.9
5.05,3
4.63,2.5
2,4.4
4.61,2.7
4.15,3.5
1.48,4.2
4.22,3.7
2.73,3.6
2.23,4.3
4.94,3.1
2.75,4.4
2.25,3
2.13,4.2
2.53,4
2.33,4.1
3.03,3.3
2.32,4.6
2.54,3.5
2.14,3.4
2.35,2.9
1.81,5.4
2.34,3.2
1.38,3.8
1.73,4
1.57,3.5
2.17,4.2
1.83,3.4
3.4,2.4
0.6,5.1
1.88,4.8
5.34,3.1
4.03,3.4
3.69,2.7
3.59,5
3.35,4.2
1.84,3.2
2.42,3.6
4.39,2.4
0.94,5.1
0.94,5.3
1.63,3.5
3.91,3.8
3.76,3.7
1.64,4.5
3.36,3.8
0.93,4.6
3.1,3
3.81,3.2
4.01,4.8
3.43,3.6
3.79,3.6
2.98,5.2
5.96,2.8
3.58,3.3
3.02,3.5
0.89,5
0.92,5.2
3.3,3.3
2.37,3.3
3.54,3.9
0.6,9.9
0.69,9.5
4.8,3.9
2.45,3.6
2.98,2.5
5,2.9
4.03,3.4
1.06,8.3
3.58,3.2
3.76,2.9
3.41,4.4
6.17,3
3.98,3.6
4.05,2.8
3.41,2.9
1.6,3.6
2.66,3.8
1.11,5.2
1.6,3.8
4.13,4
1.62,5.3
1.98,5
3.97,3.6
1.09,8.3
2.75,5.6
2.2,5.5
3.57,2.9
