Absorption wavelength (nm), Intensity
239.76,0.0216
248.7,0.0345
277.4,0.0002
305.18,0.005
303.84,0.0051
261.67,0.0038
251.64,0.0378
259.03,0.0565
287.68,0.0026
263.99,0.0064
197.75,0.0009
318.57,0.0014
180.64,0.0002
247.2,0.0002
287.56,0.0006
333.9,0.0269
247.82,0.0264
259.81,0.0838
255.62,0.0044
306.88,0.0002
294.36,0.0482
254.53,0.0491
243.34,0.043
238.26,0.0001
280.56,0
286.17,0.1083
336.08,0.0001
303.46,0.0935
133.5,0.1431
281.43,0.0301
247.49,0.0215
346.47,0.0502
278.93,0.024
329.22,0
231.39,0.0008
290.82,0.0039
289.26,0.083
306.53,0
245.96,0.004
205.24,0.0862
267.26,0.0101
455.52,0
293.03,0.0071
328.09,0
284.56,0.0411
256.56,0.0002
304.74,0.9234
290.03,0.075
232.44,0.0041
319.3,0.0599
283.74,0.0779
273.91,0.0256
490.97,0.0023
329.24,0.3913
194.84,0.0201
288.29,0.1242
314.82,0.1261
330.44,0.0003
370.17,0.0021
246.56,0.0493
287.39,0.0097
249.12,0.001
333.89,0.0002
246.66,0.0281
273.23,0.147
278.47,0.0008
415.31,0.0002
225.12,0.001
212.72,0.0003
249.43,0.0444
290.36,0.103
376.14,0.0023
307.15,0.0871
243.47,0.0489
244.43,0.0295
201.28,0.1163
248.74,0.058
279.1,0.0001
214.12,0.0006
301.52,0.689
505.77,0.0003
260.51,0.0831
283.48,0.0009
345.94,0.1356
304.07,0.0884
232.78,0.0002
247,0.0225
281.15,0.0013
244.87,0.0045
320.94,0
290.38,0.0044
252.6,0.0628
363.23,0.0001
258.14,0.0025
271.72,0.6144
439.42,0
319.92,0.0006
306.69,0.0025
310.84,0.5493
477.45,0
286.9,0.0035
238.98,0.0027
242.44,0.0262
222.51,0.299
245.74,0.0274
317.17,0.141
381.62,0.0476
397.89,0.0063
280.83,0.0681
268.87,0.2045
246.78,0.0006
266.89,0.1023
228.63,0.0126
259.12,0.0164
199.34,0.1265
289.94,0.0129
383.84,0.0043
247.54,0.0773
288.82,0.0292
345.6,0.0716
273.22,0.0107
266.54,0.0002
301.63,0.0489
245.12,0.0123
330.67,0.2132
293.86,0
299.01,0.0014
342.75,0.0002
329.77,0.0009
303.38,0.0583
207.8,0.2138
334.51,0.004
287.86,0.0015
355.19,0.0966
360.9,0
230.4,0.0034
301.57,0.0711
262.96,0.0294
312.01,0.1306
247.21,0.053
243.35,0.0396
270.6,0.1817
271.11,0.1672
254.33,0.0102
238.64,0
265.11,0.0955
274.34,0.0105
263.91,0.0012
241.67,0.0214
273.53,0.0107
257.52,0
270,0.0244
292.75,0.3433
279.04,0.2346
262.6,0.032
242.79,0.0474
301.41,0.003
295.17,0.0083
314.66,0.1412
269.02,0.0019
521.48,0.0003
193.06,0.0014
278.22,0.0001
333.41,0
281.01,0.0023
249.24,0.0869
194.39,0.0595
296.33,0.5143
323.76,0.5932
321.2,0.2083
235.6,0.0031
235.13,0.0002
299.86,0
329.76,0.7813
298.68,0.0635
230.54,0.0013
331.99,0.0064
291.25,0.0016
331.45,0.3042
343.76,0.0019
259.06,0.0693
273.25,0.0011
242.47,0.0048
229.02,0.0003
220.09,0.0012
313.47,0.1007
334.81,0.0003
353.12,0.0124
277.34,0.0107
285.38,0.0003
303.19,0.294
246.34,0.0387
316.57,0.0375
188.01,0.0082
254.04,0.0189
343.96,0
281.43,0.0043
323.26,0.0005
326.52,0
342.51,0.0001
281.4,0.2334
262.89,0.0702
407.6,0.4744
246.75,0.0008
261,0.0327
306.05,0.0573
291.12,0.0758
344.53,0
230.18,0.0022
263.39,0.0955
280.02,0.0136
281.32,0.0031
258.12,0.0658
309.63,0.0984
253.76,0.009
239.47,0.0067
341.53,0
289.97,0.0446
290.59,0.0027
222.25,0.0011
308.24,0.0001
310.89,0.0524
251.2,0.0317
248.2,0.0421
290.31,0.0161
290.95,0.0334
294.6,0.0247
242.46,0.0047
345.7,0.1091
165.14,0.0055
259.47,0.0057
259.65,0.1292
219.81,0.0021
258.01,0.0722
208.91,0.0101
255.42,0.0995
313.19,0.0017
289.14,0.0015
354.12,0.0003
263.2,0.08
451.43,0.0033
239.23,0
289.01,0.0006
255.63,0.0087
275.85,0.01
343.49,0.0867
243.11,0.0031
223.38,0.0028
291.3,0.0713
245.1,0.0295
347.14,0
280.36,0.0046
307.78,0.3664
311.31,0.0352
291.4,0.046
287.58,0.0112
267.83,0.0471
307.88,0.0153
316.61,0.1157
290.92,0.0485
264.2,0.0281
321.68,0.0001
346.01,0.0167
226.66,0.0042
277.6,0.1242
267.54,0.0129
343.89,0.0009
246.48,0.0507
237.4,0.0041
263.46,0.0179
291.7,0.3778
231.33,0.0009
209.9,0
441.22,0
268.33,0.0086
334.66,0.489
271.78,0.2322
249.71,0.0301
282.64,0.0251
277.05,0.101
354.87,0
341.09,0.932
237.48,0.0038
325.31,0.0001
321.24,0.0001
242.87,0.025
323.3,0.1069
252.45,0.0027
328.1,0.1363
277.42,0.0173
244.63,0.0196
365.32,0.1415
386.92,0.026
348.13,0.0109
312.23,0.0515
182.64,0.1422
313.74,0.0044
310.97,0.0717
285.76,0.0623
320.91,0.0001
297.27,0.0002
231.65,0.0034
370.97,0
268.39,0.0077
295.5,0.0275
324.99,0.5674
267.19,0.2069
277.1,0.0009
244.38,0.0485
242.93,0.0047
347.21,0.0001
265.02,0.0428
312.28,0.2311
